Hours,HeadCount,MonthNo,WeekNo_Encoded,ProjScale_Encoded,JobLevel_Associate,JobLevel_Manager,JobLevel_PPMD,JobLevel_SSC Classes,JobLevel_Senr Associate,JobLevel_Temp/Unknown
40.0,1,5,55,2,0,0,0,0,0,1
40.0,1,5,54,2,0,0,0,0,0,1
40.0,1,5,57,2,0,0,0,0,0,1
40.0,1,5,52,2,0,0,0,0,0,1
40.0,1,5,60,2,0,0,0,0,0,1
40.0,1,5,53,2,0,0,0,0,0,1
40.0,1,5,56,2,0,0,0,0,0,1
40.0,1,5,58,2,0,0,0,0,0,1
40.0,1,5,55,1,0,0,0,0,0,1
40.0,1,5,61,1,0,0,0,0,0,1
40.0,1,5,54,1,0,0,0,0,0,1
40.0,1,5,57,1,0,0,0,0,0,1
40.0,1,5,55,1,0,0,0,0,0,1
40.0,1,5,61,1,0,0,0,0,0,1
40.0,1,5,54,1,0,0,0,0,0,1
40.0,1,5,55,1,0,0,0,0,0,1
40.0,1,5,61,1,0,0,0,0,0,1
40.0,1,5,54,1,0,0,0,0,0,1
40.0,1,5,57,1,0,0,0,0,0,1
40.0,1,5,54,1,0,0,0,0,0,1
40.0,1,5,57,1,0,0,0,0,0,1
40.0,1,5,55,2,0,0,0,0,0,1
40.0,1,5,61,2,0,0,0,0,0,1
40.0,1,5,54,2,0,0,0,0,0,1
40.0,1,5,55,1,0,0,0,0,0,1
40.0,1,5,61,1,0,0,0,0,0,1
40.0,1,5,54,1,0,0,0,0,0,1
40.0,1,5,57,1,0,0,0,0,0,1
40.0,1,5,55,3,0,0,0,0,0,1
40.0,1,5,61,3,0,0,0,0,0,1
40.0,1,5,54,3,0,0,0,0,0,1
40.0,1,5,57,3,0,0,0,0,0,1
40.0,1,5,55,1,0,0,0,0,0,1
40.0,1,5,61,1,0,0,0,0,0,1
40.0,1,5,54,1,0,0,0,0,0,1
40.0,1,5,55,1,0,0,0,0,0,1
40.0,1,5,61,1,0,0,0,0,0,1
40.0,1,5,54,1,0,0,0,0,0,1
40.0,1,5,57,1,0,0,0,0,0,1
40.0,1,5,55,1,0,0,0,0,0,1
40.0,1,5,61,1,0,0,0,0,0,1
40.0,1,5,54,1,0,0,0,0,0,1
40.0,1,5,57,1,0,0,0,0,0,1
40.0,1,5,55,2,0,0,0,0,0,1
40.0,1,5,61,2,0,0,0,0,0,1
40.0,1,5,54,2,0,0,0,0,0,1
40.0,1,5,57,2,0,0,0,0,0,1
40.0,1,5,59,2,0,0,0,0,0,1
40.0,1,5,55,1,0,0,0,0,0,1
40.0,1,5,61,1,0,0,0,0,0,1
40.0,1,5,54,1,0,0,0,0,0,1
40.0,1,5,57,1,0,0,0,0,0,1
40.0,1,5,55,1,0,0,0,0,0,1
40.0,1,5,61,1,0,0,0,0,0,1
40.0,1,5,54,1,0,0,0,0,0,1
40.0,1,5,57,1,0,0,0,0,0,1
40.0,1,5,55,2,0,0,0,0,0,1
40.0,1,5,61,2,0,0,0,0,0,1
40.0,1,5,54,2,0,0,0,0,0,1
40.0,1,5,57,2,0,0,0,0,0,1
40.0,1,5,52,2,0,0,0,0,0,1
40.0,1,5,60,2,0,0,0,0,0,1
40.0,1,5,53,2,0,0,0,0,0,1
40.0,1,5,56,2,0,0,0,0,0,1
40.0,1,5,58,2,0,0,0,0,0,1
40.0,1,5,55,2,0,0,0,0,0,1
40.0,1,5,55,1,0,0,0,0,0,1
40.0,1,5,55,1,0,0,0,0,0,1
40.0,1,5,61,1,0,0,0,0,0,1
40.0,1,5,54,1,0,0,0,0,0,1
40.0,1,5,57,1,0,0,0,0,0,1
40.0,1,5,55,2,0,0,0,0,0,1
40.0,1,5,61,2,0,0,0,0,0,1
40.0,1,5,54,2,0,0,0,0,0,1
40.0,1,5,55,2,0,0,0,0,0,1
40.0,1,5,61,2,0,0,0,0,0,1
40.0,1,5,54,2,0,0,0,0,0,1
40.0,1,5,57,2,0,0,0,0,0,1
40.0,1,5,55,3,0,0,0,0,0,1
40.0,1,5,61,3,0,0,0,0,0,1
40.0,1,5,54,3,0,0,0,0,0,1
40.0,1,5,57,3,0,0,0,0,0,1
40.0,1,5,55,2,0,0,0,0,0,1
40.0,1,5,61,2,0,0,0,0,0,1
40.0,1,5,54,2,0,0,0,0,0,1
40.0,1,5,57,2,0,0,0,0,0,1
40.0,1,5,55,2,0,0,0,0,0,1
40.0,1,5,61,2,0,0,0,0,0,1
40.0,1,5,54,2,0,0,0,0,0,1
40.0,1,5,57,2,0,0,0,0,0,1
40.0,1,5,55,2,0,0,0,0,0,1
40.0,1,5,61,2,0,0,0,0,0,1
40.0,1,5,54,2,0,0,0,0,0,1
40.0,1,5,57,2,0,0,0,0,0,1
40.0,1,5,55,1,0,0,0,0,0,1
40.0,1,5,61,1,0,0,0,0,0,1
40.0,1,5,54,1,0,0,0,0,0,1
40.0,1,5,55,2,0,0,0,0,0,1
40.0,1,5,61,2,0,0,0,0,0,1
40.0,1,5,54,2,0,0,0,0,0,1
40.0,1,5,57,2,0,0,0,0,0,1
40.0,1,5,55,1,0,0,0,0,0,1
40.0,1,5,61,1,0,0,0,0,0,1
40.0,1,5,54,1,0,0,0,0,0,1
40.0,1,5,57,1,0,0,0,0,0,1
40.0,1,5,59,1,0,0,0,0,0,1
40.0,1,5,55,1,0,0,0,0,0,1
40.0,1,5,61,1,0,0,0,0,0,1
40.0,1,5,54,1,0,0,0,0,0,1
40.0,1,5,57,1,0,0,0,0,0,1
40.0,1,5,54,1,0,0,0,0,0,1
40.0,1,5,57,1,0,0,0,0,0,1
40.0,1,5,55,1,0,0,0,0,0,1
40.0,1,5,61,1,0,0,0,0,0,1
40.0,1,5,54,1,0,0,0,0,0,1
40.0,1,5,57,1,0,0,0,0,0,1
40.0,1,5,54,1,0,0,0,0,0,1
40.0,1,5,57,1,0,0,0,0,0,1
40.0,1,5,55,1,0,0,0,0,0,1
40.0,1,5,61,1,0,0,0,0,0,1
40.0,1,5,54,1,0,0,0,0,0,1
40.0,1,5,57,1,0,0,0,0,0,1
40.0,1,5,54,2,0,0,0,0,0,1
40.0,1,5,57,2,0,0,0,0,0,1
40.0,1,5,55,3,0,0,0,0,0,1
40.0,1,5,61,3,0,0,0,0,0,1
40.0,1,5,54,3,0,0,0,0,0,1
40.0,1,5,57,3,0,0,0,0,0,1
40.0,1,5,59,3,0,0,0,0,0,1
40.0,1,5,55,2,0,0,0,0,0,1
40.0,1,5,54,1,0,0,0,0,0,1
40.0,1,5,57,1,0,0,0,0,0,1
40.0,1,5,54,1,0,0,0,0,0,1
40.0,1,5,55,1,0,0,0,0,0,1
40.0,1,5,61,1,0,0,0,0,0,1
40.0,1,5,54,1,0,0,0,0,0,1
40.0,1,5,57,1,0,0,0,0,0,1
40.0,1,5,61,1,0,0,0,0,0,1
40.0,1,5,54,1,0,0,0,0,0,1
40.0,1,5,57,1,0,0,0,0,0,1
40.0,1,5,59,1,0,0,0,0,0,1
40.0,1,5,61,1,0,0,0,0,0,1
40.0,1,5,54,1,0,0,0,0,0,1
40.0,1,5,57,1,0,0,0,0,0,1
40.0,1,5,59,1,0,0,0,0,0,1
40.0,1,5,61,1,0,0,0,0,0,1
40.0,1,5,54,1,0,0,0,0,0,1
40.0,1,5,57,1,0,0,0,0,0,1
40.0,1,5,59,1,0,0,0,0,0,1
40.0,1,5,61,1,0,0,0,0,0,1
40.0,1,5,54,1,0,0,0,0,0,1
40.0,1,5,57,1,0,0,0,0,0,1
40.0,1,5,59,1,0,0,0,0,0,1
40.0,1,6,46,2,0,0,0,0,0,1
40.0,1,6,40,2,0,0,0,0,0,1
40.0,1,6,42,2,0,0,0,0,0,1
40.0,1,6,44,2,0,0,0,0,0,1
40.0,1,6,45,2,0,0,0,0,0,1
40.0,1,6,39,2,0,0,0,0,0,1
40.0,1,6,41,2,0,0,0,0,0,1
40.0,1,6,43,2,0,0,0,0,0,1
40.0,1,6,46,1,0,0,0,0,0,1
40.0,1,6,40,1,0,0,0,0,0,1
40.0,1,6,42,1,0,0,0,0,0,1
40.0,1,6,44,1,0,0,0,0,0,1
40.0,1,6,46,2,0,0,0,0,0,1
40.0,1,6,40,2,0,0,0,0,0,1
40.0,1,6,42,2,0,0,0,0,0,1
40.0,1,6,46,1,0,0,0,0,0,1
40.0,1,6,40,1,0,0,0,0,0,1
40.0,1,6,42,1,0,0,0,0,0,1
40.0,1,6,46,2,0,0,0,0,0,1
40.0,1,6,40,2,0,0,0,0,0,1
40.0,1,6,42,2,0,0,0,0,0,1
40.0,1,6,40,1,0,0,0,0,0,1
40.0,1,6,42,1,0,0,0,0,0,1
40.0,1,6,44,1,0,0,0,0,0,1
40.0,1,6,44,2,0,0,0,0,0,1
